SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
DDNRRPQX,Impressionism,Books,0,0-300-05035-6,,1990,"National Gallery, in association with Yale University Press",,IMPRESSIONISM-B,London,"19th century; Exhibitions; France; Impressionism (Art); National Gallery (Great Britain); Painting, French; Technique",Art in the making,,1990,,,227,
ZJJJN8VD,Käthe Kollwitz,Books,"Prelinger, Elizabeth",0-300-06168-4,,1992,National Gallery of Art,,ARTIST - K,,0,,,1992,,,,
Q6Y68GJT,"Gothic sculpture, 1140-1300",Books,"Williamson, Paul",0-300-06338-5,,1995,Yale University Press,,MEDIEVAL,New Haven,"Sculpture, Gothic",Yale University Press Pelican history of art,,1995,,,301,
NU4RU9VI,Greek architecture,Books,"Lawrence, A. W.; Tomlinson, R. A.",0-300-06491-8,,1996,Yale University Press,,ARCHITECTURE,New Haven,Architecture; Greece,Yale University Press Pelican history of art,5th ed,1996,,,243,
VD5UV254,On abstract art,Books,"Fer, Briony",0-300-06975-8,,1997,Yale University Press,,MODERN,New Haven,"20th century; Art, Modern; Art, Abstract",,,1997,,,194,
N94DQT4N,Renoir's portraits: impressions of an age,Books,"Bailey, Colin B.; Renoir, Auguste; National Gallery of Canada",0-300-07133-7,,1997,Yale University Press,,ARTIST - R,New Haven,"France; Impressionism (Art); Exhibitions; Biography Portraits Exhibitions; Renoir, Auguste",,,1997,,,384,
D2VAMBGQ,"Picasso--the early years, 1892-1906",Books,"Picasso, Pablo; McCully, Marilyn; Staller, Natasha; Museum of Fine Arts, Boston; National Gallery of",0-300-07166-3,,1997,National Gallery of Art,,ARTIST - P,Washington,"Exhibitions; Picasso, Pablo",,,1997,,,374,
SMLPG37Q,On reflection,Books,"Miller, Jonathan; Mendes, Valerie D.; National Gallery (Great Britain)",0-300-07713-0,,1998,National Gallery Publications ; Distributed by Yale University Press,,GENERAL APPRECIATION/CRITICISM,"London : [New Haven, Conn.]",Art; Philosophy; Light in art; Mirrors in art; Reflection (Optics) in art; Reflections,,,1998,,,224,
4NG9LEN2,Jean-François Millet: drawn into the light,Books,0,0-300-07925-7,,1999,Sterling and Francine Clark Art Institute ; Frick Art & Historical Center ; Yale University Press,,ARTIST - M,"Williamstown, Mass. : Pittsburgh, Pa. : New Haven","Exhibitions; Millet, Jean-François",,,1999,,,137,
364N9BNR,Picturing old New England: image and memory,Books,0,0-300-07938-9,,1999,"National Museum of American Art, Smithsonian Institution ; Yale University Press",,AMERICAN,"Washington, D.C. : New Haven","19th century; In art; Exhibitions; 20th century; Art, American; New England",,,1999,,,239,
4QE6F2DH,"Signac, 1863-1935",Books,"Signac, Paul; Bocquillon-Ferretti, Marina; Grand Palais (Paris, France); Metropolitan Museum of Art ",0-300-08860-4,,2001,Metropolitan Museum of Art ; Yale University Press,,ARTIST - S OVERSIZE,New York : New Haven,"France; Exhibitions; Neo-impressionism (Art); Signac, Paul",,,2001,,,340,
E7I32S2I,"Beyond the easel: decorative paintings by Bonnard, Vuillard, Denis, and Roussel, 1890-1930",Books,"Groom, Gloria Lynn; Barruel, Thérèse; Paoletti, Jennifer; Watkins, Nicholas; Art Institute of Chicag",0-300-08925-2,,2001,Art Institute of Chicago ; Yale University Press,,EUROPEAN - FRANCE,Chicago : New Haven,History; 19th century; France; Exhibitions; 20th century; Symbolism in art; Decoration and ornament,,1st ed,2001,,,289,
3QG8LEFW,Picasso: the artist's studio,Books,"FitzGerald, Michael C.; Picasso, Pablo; Robinson, William H.; Cleveland Museum of Art; Wadsworth Ath",0-300-08941-4,,2001,Wadsworth Atheneum Museum of Art ; In association with Yale University Press,,ARTIST - P,Hartford : New Haven,"Exhibitions; Picasso, Pablo; Artists' studios in art",,,2001,,,190,
2H3JKQIH,"Out of the ordinary: Robert Venturi, Denise Scott Brown and Associates: architecture, urbanism, design",Books,0,0-300-08995-3,,2001,Philadelphia Museum of Art in association with Yale University Press,,ARCHITECTURE,"Philadelphia, Pa","History; Exhibitions; 20th century; United States; Architecture; Scott Brown, Denise; Venturi Scott Brown and Associates; Venturi, Robert",,,2001,,,277,
WDRCR9V6,Edouard Vuillard,Books,0,0-300-09737-9,,2003,National Gallery of Art,,ARTIST - V OVERSIZE,Washington,"Exhibitions; Vuillard, Edouard",,,2003,,,501,
ZNIYA7JA,"Millet to Matisse: nineteenth- and twentieth-century French painting from Kelvingrove Art Gallery, Glasgow",Books,0,0-300-09780-8,,2002,Yale University Press in association with Glasgow Museums,,IMPRESSIONISM-H,New Haven,"19th century; 20th century; Exhibitions; France; Impressionism (Art); Kelvingrove Art Gallery; Painting; Painting, French; Post-impressionism (Art); Scotland Glasgow",,,2002,,,215,
KXABEQ55,Hudson River school: masterworks from the Wadsworth Atheneum Museum of Art,Books,"Kornhauser, Elizabeth Mankin; Ellis, Amy; Miesmer, Maureen; Wadsworth Atheneum Museum of Art",0-300-10116-3,,,"London : Yale University Press in association with the Wadsworth Atheneum Museum of Art, Hartford, c2003",,AMERICAN,New Haven,"19th century; Exhibitions; Art; In art Exhibitions; Landscape painting, American; Connecticut Hartford; Hudson River school of landscape painting; Hudson River Valley (N.Y. and N.J.); Wadsworth Atheneum Museum of Art",,,,,,169,
FEFMVHJD,Stieglitz: a beginning light,Books,"Hoffman, Katherine",0-300-10239-9,,2004,Yale University Press,,ARTIST - S,New Haven,"Biography; United States; Photographers; Stieglitz, Alfred",,,2004,,,381,
39AL3Z7C,"Childe Hassam, American impressionist",Books,"Weinberg, H. Barbara; Barker, Elizabeth E.",0-300-10293-3,,2004,Metropolitan Museum of Art ; Yale University Press,,ARTIST - H,New York : New Haven,"Impressionism (Art); Exhibitions; United States; Hassam, Childe",,,2004,,,425,
6XMXLSLK,Modernism in American silver: 20th century design,Books,"Stern, Jewel; Tucker, Kevin W.; Venable, Charles L.; Renwick Gallery",0-300-10927-X,,2005,Yale University Press ; In association with the] Dallas Museum of Art,,DECORATIVE ARTS,New Haven : [Dallas,History; Exhibitions; 20th century; United States; Modernism (Art); Design; Silverwork,,,2005,,,392,
9U8C7UYS,Wolfgang Tillmans,Books,"Tillmans, Wolfgang; Ault, Julie; Birnbaum, Daniel; Ferguson, Russell; Molon, Dominic; Relyea, Lane; ",0-300-12022-2,,2006,Hammer Museum,,ARTIST - T,Los Angeles,"Exhibitions; Photography, Artistic; Tillmans, Wolfgang",,,2006,,,181,
2C8SNBMS,"Color as field: American painting, 1950-1975",Books,"Wilkin, Karen; Belz, Carl; American Federation of Arts; Denver Art Museum; Frist Center for the Visu",0-300-12023-0,,2007,American Federation of Arts ; In association with Yale University Press,,AMERICAN,New York : New Haven,"Exhibitions; 20th century; Painting, American; United States; Color-field painting",,,2007,,,127,
FJNZIS27,John Sloan's New York,Books,"Coyle, Heather Campbell; Schiller, Joyce K.; Sloan, John; Delaware Art Museum",0-300-12619-0,,2007,Delaware Art Museum ; In association with Yale University Press,,ARTIST - S,Wilmington : New Haven,"Exhibitions; New York (N.Y.); Sloan, John; In art Exhibitions",,,2007,,,208,
XEX5QMIX,"Paul Thek: Diver, a retrospective",Books,"Sussman, Elisabeth; Baker, George; Thek, Paul; Zelevansky, Lynn; Carnegie Museum of Art; Hammer Muse",0-300-16595-1,,2010,Whitney Museum of American Art ; Carnegie Museum of Art ; Distributed by Yale University Press,,ARTIST - T,New York : Pittsburgh : New Haven [Conn.],"Exhibitions; Criticism and interpretation; Themes, motives; Thek, Paul",A Whitney Museum of American Art book,,2010,,,304,
B97W46R3,A handbook of Greek art,Books,"Richter, Gisela M. A.",0-306-80298-8,,1987,Da Capo Press,,ANCIENT,"New York, N.Y","Art, Greek",A Da Capo paperback,9th ed,1987,,,431,
ZRF2LP49,The new subjectivism: art in the 1980s,Books,"Kuspit, Donald B.",0-306-80538-3,,1993,Da Capo Press,,MODERN,New York,"20th century; Art, Modern; Themes, motives; Psychological aspects",,1st Da Capo Press ed,1993,,,578,
ELG5VAFC,Architecture: the natural and the manmade,Books,"Scully, Vincent",0-312-06292-3,,1991,St. Martin's Press,,ARCHITECTURE,New York,Architecture; Nature (Aesthetics),,1st ed,1991,,,388,
U7QI8KI6,The Life and times of R. Crumb: comments from contemporaries,Books,0,0-312-19571-0,,1998,St. Martin's Griffin,,Artist-C,New York,"Biography; Cartoonists; Crumb, R; United States",,,1998,,,182,
FK2ZRJX5,Behind the scenes of Tiffany glassmaking: the Nash notebooks: including Tiffany favrile glass by Leslie Hayden Nash,Books,0,0-312-28265-6,,2001,"St. Martin's Press, in association with Christie's Fine Arts Auctioneers",,Glass,New York,"Favrile glass; Nash, Leslie Hayden; Tiffany and Company",,1st ed,2001,,,236,
MLB9H3NF,Experiencing art around us,Books,"Buser, Thomas",0-314-02698-3,,1995,West Pub,,GENERAL APPRECIATION/CRITICISM,Minneapolis/St. Paul,Visual perception; Art,,,1995,,,613,
EGP34GIC,The ascent of man,Books,"Bronowski, Jacob",0-316-10930-4,,1974,"Little, Brown",,GENERAL HISTORY,Boston,History; Philosophy; Human beings; Science,,1st American ed.,1974,,,448,
MPJ5LX7W,"The man in the Glass House: Philip Johnson, architect of the modern century",Books,"Lamster, Mark",0-316-12643-8,,2018,"Little, Brown and Company",,720.92,New York,"Biography; United States; Architects; Biographies; BIOGRAPHY & AUTOBIOGRAPHY / Artists, Architects, Photographers; 20th Century; ARCHITECTURE; ARCHITECTURE / Buildings / Landmarks & Monuments; Artists, Architects, Photographers; BIOGRAPHY & AUTOBIOGR",,First edition,2018,,,508,
QZW6IM2V,"Ninth Street women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: five painters and the movement that changed modern art",Books,"Gabriel, Mary",0-316-22618-1,,2018,"Little, Brown and Company",,MODERN,New York,"20th century; Biography; United States; Art, Modern; Artists; Abstract expressionism; Women; Women artists; 1900-1999; Krasner, Lee; Biographies; Artists, Architects, Photographers; BIOGRAPHY & AUTOBIOGRAPHY; De Kooning, Elaine; Frankenthaler, Helen;",,First edition,2018,,,927,
TIVNZA74,Maverick with a paintbrush: Thomas Hart Benton,Books,"Yeo, Wilma; Cook, Helen K.",0-385-00421-4,,1977,Doubleday,,ARTIST-B,"Garden City, N.Y","Benton, Thomas Hart; Biography; Painters; United States",,1st ed,1977,,,125,
YC8LFQ65,Japan: A History in Art,Books,"Smith, Bradley",0-385-03240-4,,1964,Doubleday & Co,,JAPANESE,,0,,,1964,,,,
U9NQQNY3,American Buildings and Their Architects: The Impact of European Modernism in the Mid-Twentieth Century,Books,"Jordy, William H.",0-385-05704-0,,1976,Anchor Books,,ARCHITECTURE,,0,,,1976,,,,
HURTJ3ER,The Triumph of art for the public: the emerging role of exhibitions and critics,Books,0,0-385-13511-4,,1979,Anchor Press,,GENERAL HISTORY,"Garden City, N.Y","19th century; Exhibitions; Art, Modern; Art; Art criticism; Art exhibition audiences",,1st ed,1979,,,530,
PH4QV4G9,Out of this century: confessions of an art addict,Books,"Guggenheim, Peggy; Guggenheim, Peggy",0-385-17109-9,,1980,Anchor Books,,MODERN,"Garden City, N.Y","Biography; United States; Art patrons; Guggenheim, Peggy",,1st ed,1980,,,336,
QQRC4JEI,Leonardo,Books,"Wasserman, Jack",0-385-17167-6,,1980,Doubleday,,ARTIST - D,"Garden City, N.Y",Leonardo,,,1980,,,179,
4PK5W5XU,Vincent Van Gogh,Books,"Schapiro, Meyer",0-385-17168-4,,1980,Doubleday,,ARTIST - V,"Garden City, N.Y","Gogh, Vincent van",,,1980,,,132,
HLZLJLGJ,The power of myth,Books,"Campbell, Joseph; Moyers, Bill D.",0-385-24773-7,,1988,Doubleday,,Religion/Myth,New York,"United States; Interviews; Campbell, Joseph; Myth; Mythologists",,1st ed,1988,,,231,
RRWISIIK,The sculptor's eye: looking at contemporary American art,Books,"Greenberg, Jan; Jordan, Sandra",0-385-30902-3,,1993,Delacorte Press,,MODERN,New York,"20th century; Juvenile literature; Art appreciation; Sculpture, Modern",,,1993,,,128,
WV8RBFT9,Born Under Saturn: The Character and Conduct of Artists: A Documented History from Antiquity to the French Revolution,Books,"Wittkower, Rudolf and Margot",0-393-00474-0,,1963,W. W. Norton & Co,,,,0,,,1963,,,,
MVPP9SVG,Born Under Saturn: The Character and Conduct of Artists: A Documented History from Antiquity to the French Revolution,Books,"Wittkower, Rudolf and Margot",0-393-00474-0,,1963,W. W. Norton & Co,,GENERAL HISTORY,,0,,,1963,,,,
QJMJBH6J,The Hellenistic age: aspects of Helenistic civilization,Books,0,0-393-00544-5,,1970,Norton,,ANCIENT,New York,"History; Civilization; Greece; To 146 B.C; Diadochi, 323-276 B.C; Greek literature; Hellenism; History and criticism; Macedonia","The Norton library, N544",,1970,,,145,
QX4PZKJA,"The master builders: Le Corbusier, Mies van der Rohe, Frank Lloyd Wright",Books,"Blake, Peter",0-393-00796-0,,1976,Norton,,ARCHITECTURE,New York,"20th century; Wright, Frank Lloyd; Architecture, Modern; Le Corbusier; Mies van der Rohe, Ludwig",The Norton library,,1976,,,430,
YF8X9IAV,The Greek stones speak: the story of archaeology in Greek lands,Books,"MacKendrick, Paul Lachlan",0-393-00932-7,,1979,Norton,,ANCIENT,New York,Antiquities; Excavations (Archaeology); Greece,,,1979,,,,
83G5GI2Q,"Identifying American architecture: a pictorial guide to styles and terms, 1600-1945",Books,"Blumenson, John J. G.",0-393-01428-2,,1981,Norton,,ARCHITECTURE,New York,United States; Architecture; Terminology,,"2d ed., rev. and enl",1981,,,118,
Y33VPZ7H,"Edvard Munch, master printmaker: an examination of the artist's works and techniques based on the Philip and Lynn Straus Collection",Books,"Prelinger, Elizabeth",0-393-01797-4,,1983,W.W. Norton,,ARTIST - M,New York,"United States; Art collections; Private collections; Munch, Edvard; Prints; Straus, Lynn; Straus, Philip",,1st ed,1983,,,,
EQHJDK5N,"John Frederick Kensett, an American master",Books,"Driscoll, John Paul; Howat, John K.; Strickler, Susan E.; Los Angeles County Museum of Art; Metropol",0-393-01934-9,,1985,Worcester Art Museum in association with Norton,,Artist K,New York,"Exhibitions; Landscapes in art; Kensett, John Frederick",,1st ed,1985,,,208,
Z89PNUYI,"After the photo-secession: American pictorial photography, 1910-1955",Books,"Peterson, Christian A.; Minneapolis Institute of Arts",0-393-04111-5,,1997,"Minneapolis Institute of Arts in association with W.W. Norton, New York",,PHOTOGRAPHY,"Minneapolis, Minn.","History; United States; Photography, Artistic; Pictorialism (Photography movement)",,1st ed,1997,,,218,
CPL8BC5I,"The chair: rethinking culture, body, and design",Books,"Cranz, Galen",0-393-04655-9,,1998,W.W. Norton,,DECORATIVE ARTS,New York,Chairs; Chair design,,1st ed,1998,,,288,
K5U87279,Normandie: France's legendary art deco ocean liner,Books,"Maxtone-Graham, John",0-393-06120-5,,2007,W.W. Norton & Company,,NON-CIRCULATING REFERENCE,New York,Lafayette (Steamship); Normandie (Steamship),,1st ed,2007,,,259,
E7IBGK8U,In Our Time: The World as Seen by Magnum Photographers,Books,"Manchester, William et al",0-393-31129-5,,1989,American Federation of Arts,,PHOTOGRAPHY,,0,,,1989,,,,
VD7T25SB,Edward Hopper: a journal of his work,Books,"Hopper, Edward; Lyons, Deborah; O'Doherty, Brian",0-393-31330-1,,1997,Whitney Museum of American Art in association with W.W. Norton & Co,,ARTIST - H,New York,"United States; Artists; Archives; Hopper, Edward",,1st ed,1997,,,103,
9JLXQLY7,In China,Books,"Arnold, Eve",0-394-50901-3,,1980,Knopf,,Chinese,New York,Pictorial works; China,,1st ed,1980,,,201,
2MXCW6FD,Treasures of ancient Nigeria,Books,"Eyo, Ekpo; Krichbaum, Rollyn O.; Willett, Frank; California Palace of the Legion of Honor; Metropoli",0-394-50975-7,,1980,Knopf : distributed by Random House,,AFRICAN,New York,"Exhibitions; Art, Nigerian",,1st ed,1980,,,161,
YHQSGHGU,A field guide to American houses,Books,"McAlester, Virginia; McAlester, A. Lee",0-394-51032-1,,1984,Knopf,,ARCHITECTURE,New York,"United States; Architecture, Domestic; Guidebooks",,,1984,,,525,
DAV6FIAL,The embarrassment of riches: an interpretation of Dutch culture in the Golden Age,Books,"Schama, Simon",0-394-51075-5,,1987,Knopf : Distributed by Random House,,EUROPEAN - NORTHERN,New York,Civilization; Netherlands; 17th century,,1st ed,1987,,,698,
SCT5LEQL,Reflections of nature: flowers in American art,Books,"Foshay, Ella M.; Whitney Museum of American Art",0-394-53490-5,,1984,"Knopf, in association with the Whitney Museum of American Art : Distributed by Random House",,AMERICAN,New York,"Exhibitions; Flowers in art; Art, American",,1st ed,1984,,,202,
PWPIQQVN,Edward Hopper: an intimate biography,Books,"Levin, Gail",0-394-54664-4,,1995,Knopf,,Artist - H,New York,"Biography; United States; Artists; Hopper, Edward",,1st ed,1995,,,678,
4K6VE796,Nothing if not critical: selected essays on art and artists,Books,"Hughes, Robert",0-394-58026-5,,1990,A.A. Knopf : Distributed by Random House,,General Appreciation/Criticism,New York,Art; Artists; Biography History and criticism,,1st ed,1990,,,429,
74KSD22D,Mary Cassatt: a life,Books,"Mathews, Nancy Mowll",0-394-58497-X,,1994,Villard Books,,Artist-C,New York,"Biography; Cassatt, Mary; Painters; United States",,1st ed,1994,,,383,
B5PNM3GF,Flash of the spirit: African and Afro-American art and philosophy,Books,"Thompson, Robert Farris",0-394-72369-4,,1984,Vintage Books,,AFRICAN,New York,"History; African Americans; African American arts; America; Arts, Black; Black people",,1st Vintage Books ed,1984,,,317,
JB7L8ZBK,Cindy Sherman,Books,"Sherman, Cindy",0-394-72485-2,,1984,Pantheon Book,,ARTIST - S,New York,"Photography, Artistic; Sherman, Cindy",,1st ed,1984,,,11,
L4P2G73K,Benjamin West: a biography,Books,"Alberts, Robert C.",0-395-26289-5,,1978,Houghton Mifflin,,ARTIST - W,Boston,"Biography; Painters; United States; West, Benjamin",,,1978,,,525,
WV6BX3XE,Two worlds of Andrew Wyeth: a conversation with Andrew Wyeth,Books,"Wyeth, Andrew; Hoving, Thomas; Metropolitan Museum of Art (New York, N.Y.)",0-395-27080-4,,1978,Houghton Mifflin,,ARTIST - W,Boston,"Exhibitions; Wyeth, Andrew",,,1978,,,170,
